id,lat,lng,categoria_pbi,dia_pbi,endereco_pbi,subprefeitura_pbi
1076-6,-23.6504378,-46.6616368,Tradicional,Domingo,"Rua Alba C Joaquim Morais, 302 - Sta Catarina - São Paulo , 04346-000",Jabaquara
1077-4,-23.6761157,-46.6942407,Tradicional,Domingo,"Rua Arnaldo Magnicaro, 370 - Jd Jurubatuba - São Paulo , 04691-060",Santo Amaro
1078-2,-23.6311554,-46.7670599,Tradicional,Domingo,"Av Amadeu Da Silva Samello, 1 - Campo Limpo - São Paulo , 05760-140",Campo Limpo
1079-0,-23.6593436,-46.6659444,Tradicional,Domingo,"Av Cupece, 1784 - Cid Ademar - São Paulo , 04366-000",Cidade Ademar
1080-4,-23.7138918,-46.6985757,Tradicional,Domingo,"Rua Nossa Senhora Do Outeiro, 10 - Cid Dutra - São Paulo , 04807-010",Capela Do Socorro
1081-2,-23.6021031,-46.6903501,Tradicional,Domingo,"Av Nova Independencia, 600 - Cid Moncoes - São Paulo , 04570-001",Pinheiros
1082-0,-23.6867678,-46.7702909,Tradicional,Domingo,"Rua Marcelino Coelho, 34 - Jd Angela - São Paulo , 04939-010",M'Boi Mirim
1083-9,-23.727204,-46.7032972,Tradicional,Domingo,"Rua Antonio Pereira Taques, 100 - Jd Presidente - São Paulo , 04828-120",Capela Do Socorro
1084-7,-23.6816643,-46.638434,Tradicional,Domingo,"Av Angelo Cristianini, 50 - Jd Miriam - São Paulo , 04424-000",Cidade Ademar
1085-5,-23.6525995,-46.7379066,Tradicional,Domingo,"Rua Arraial Dos Couros, 33 - Jd São Luiz - São Paulo , 05843-140",M'Boi Mirim
1086-3,-23.6904528,-46.7100679,Tradicional,Domingo,"Av Inacio Cunha Leme, 357 - Jd Ipanema - São Paulo , 04784-145",Capela Do Socorro
1087-1,-23.6919078,-46.6603914,Tradicional,Domingo,"Rua Augusto De Castro, 74 - Pedreira - São Paulo , 04466-090",Cidade Ademar
1088-0,-23.6690799,-46.7847557,Tradicional,Domingo,"Es De Itapecerica, 6303 - Parque Fernanda - São Paulo , 05858-003",Campo Limpo
1089-8,-23.6115703,-46.704233,Tradicional,Domingo,"Rua Barao De Monte Mor, 50 - Paineiras Do Morumbi - São Paulo , 05687-010",Butantã
1090-1,-23.6514472,-46.7125616,Tradicional,Domingo,"Av Mario Lopes Leao, 710 - Sto Amaro - São Paulo , 04754-010",Santo Amaro
1091-0,-23.5527367,-46.5030577,Tradicional,Domingo,"Rua Palmeira Laca, 15 - Jd Eliane - São Paulo , 03577-090",Itaquera
1092-8,-23.8507782,-46.7164256,Tradicional,Domingo,"Praça Pedro Rocha, S/N - Parelheiros - São Paulo , 04892-017",Parelheiros
1094-4,-23.6740112,-46.7499056,Tradicional,Domingo,"Rua Albino Correa De Campos, 14 - Vila Remo - São Paulo , 05831-020",M'Boi Mirim
1095-2,-23.6185531,-46.5117713,Tradicional,Domingo,"Rua Tome Da Rocha, 100 - Jd Elba - São Paulo , 03980-070",Sapopemba
1096-0,-23.6757674,-46.6620269,Tradicional,Domingo,"Rua Estanislau Moniusko, 1300 - Vila Joanisa - São Paulo , 04429-010",Cidade Ademar
1097-9,-23.4673689,-46.6812205,Tradicional,Domingo,"Av Guilherme De Almeida, 107 - Parque Belem - São Paulo , 02866-040",Freguesia/Brasilândia
1099-5,-23.5056981,-46.3822734,Tradicional,Domingo,"Av Academia De São Paulo, 772 - Jd Camargo Novo - São Paulo , 08121-400",Itaim Paulista
1102-9,-23.4829884,-46.421486,Tradicional,Domingo,"Rua São Goncalo Do Rio Das Pedras, 132 - Parque Paulistano - São Paulo , 08081-000",São Miguel Paulista
1104-5,-23.5423679,-46.7463947,Tradicional,Domingo,"Rua Barcelona, 99 - Jaguare - São Paulo , 05331-010",Lapa
1105-3,-23.5183639,-46.4580215,Tradicional,Domingo,"Rua Flor De Caboclo, 1 - Parque Guarani - São Paulo , 08235-360",Itaquera
1106-1,-23.5967491,-46.4409385,Tradicional,Domingo,"Rua Luiza De Jesus Ferreira, 30 - Jd Roseli - São Paulo , 08380-048",São Mateus
1107-0,-23.6219024,-46.5891954,Tradicional,Domingo,"Lg Leon De Tolstoi C/ Any, 430 - Vila Independencia - São Paulo , 04241-010",Ipiranga
1108-8,-23.5605488,-46.4913201,Tradicional,Domingo,"Rua Jasmim Da Espanha, 100 - Jd Brasilia - São Paulo , 03585-040",Itaquera
1110-0,-23.5965129,-46.5009408,Tradicional,Domingo,"Rua Douradoquara, 50 - Jd Paraguassu - São Paulo , 03939-010",São Mateus
1111-8,-23.4964289,-46.673118,Tradicional,Domingo,"Rua Maria Elisa Siqueira, 130 - Vila Barbosa - São Paulo , 02558-000",Casa Verde/Cachoeirinha
1113-4,-23.5243719,-46.4130941,Tradicional,Domingo,"Rua Benedito De Souza Borges, 33 - Jd Robru - São Paulo , 08150-340",Itaim Paulista
1114-2,-23.5757572,-46.7234015,Tradicional,Domingo,"Rua Luis Antonio Martins, 21 - Butantã - São Paulo , 05539-060",Butantã
1115-0,-23.6622197,-46.7883172,Tradicional,Domingo,"Rua Serra Dos Dois Irmaos, 10 - Jd Das Rosas - São Paulo , 05890-300",Campo Limpo
1117-7,-23.4556224,-46.5898558,Tradicional,Domingo,"Av Antonelo Da Messina, 100 - Vila Zilda - São Paulo , 02318-000",Jaçanã/Tremenbé
1118-5,-23.6462583,-46.7791978,Tradicional,Domingo,"Rua Carlos Nahas C/ Carlos Lacerda, 1 - Jd Rosana - São Paulo , 05789-000",Campo Limpo
1119-3,-23.6950646,-46.7793888,Tradicional,Domingo,"Rua Manoel Da Costa Dantas, 99 - Jd Ranieri - São Paulo , 04942-000",M'Boi Mirim
1121-5,-23.662455,-46.7540432,Tradicional,Domingo,"Rua Maria Benedita Rodrigues, 42 - Parque Sto Antonio - São Paulo , 05851-300",M'Boi Mirim
1123-1,-23.6860524,-46.6481218,Tradicional,Domingo,"Rua Rainha Das Missoes, 70 - Vila Missionaria - São Paulo , 04430-010",Cidade Ademar
1124-0,-23.5761876,-46.4848081,Tradicional,Domingo,"Rua Xavier Palmerim, 35 - Parque Savoy City - São Paulo , 08275-340",Itaquera
1125-8,-23.4839309,-46.389066,Tradicional,Domingo,"Rua Cachoeira Mangaval, 37 - Itaim Paulista - São Paulo , 08190-350",São Miguel Paulista
1126-6,-23.4078598,-46.7632217,Tradicional,Domingo,"Rua Eng Nogueira Soares, 45 - Jd Do Russo - São Paulo , 05205-110",Perus
1127-4,-23.7673973,-46.6846111,Tradicional,Domingo,"Rua Benedita Martins Ramos, 115 - Jd Tres Coracoes - São Paulo , 04855-290",Capela Do Socorro
1128-2,-23.6768404,-46.6499626,Tradicional,Domingo,"Rua Delfino Facchina, 4040 - Jd Vera Lucia - São Paulo , 04409-080",Cidade Ademar
1129-0,-23.5844147,-46.7910414,Tradicional,Domingo,"Rua Gabriel De Carvalho, 32 - Jd Boa Vista - São Paulo , 05583-080",Butantã
1130-4,-23.523346,-46.6282767,Tradicional,Domingo,"Rua Guapore, 210 - Ponte Pequena - São Paulo , 01109-030",Sé
1131-2,-23.6191684,-46.4698809,Tradicional,Domingo,"Rua Leonor De Siqueira, 50 - Jd Vera Cruz - São Paulo , 08310-500",São Mateus
1133-9,-23.5524645,-46.6775094,Tradicional,Domingo,"Rua Oscar Freire, 2400 - Sumare - São Paulo , 05409-012",Pinheiros
1134-7,-23.5478192,-46.4343841,Tradicional,Domingo,"Praça Bom Pastor, 265 - Itaquera - São Paulo , 08255-500",Itaquera
1135-5,-23.4515015,-46.5960823,Tradicional,Domingo,"Rua Penaforte, 55 - Jd Paulistana - São Paulo , 02318-260",Jaçanã/Tremenbé
1138-0,-23.5018044,-46.5161802,Tradicional,Domingo,"Praça Do Horticultores, 415 - Eng Goulart - São Paulo , 03723-040",Penha
1139-8,-23.7256388,-46.6851159,Tradicional,Domingo,"Es Do Capoeirao, 8 - Jd Colonial - São Paulo , 04821-310",Capela Do Socorro
1141-0,-23.4501217,-46.7328755,Tradicional,Domingo,"Rua Pastoril De Almenara, 50 - Parque Pan Americano - São Paulo , 02993-040",Pirituba/Jaraguá
1142-8,-23.5129735,-46.4332689,Tradicional,Domingo,"Rua Criuva, 12 - Vila Progresso - São Paulo , 08245-300",São Miguel Paulista
1143-6,-23.5021631,-46.5079658,Tradicional,Domingo,"Rua Pastoril De Itapetinga, 12 - Vila Silvia - São Paulo , 03729-000",Penha
1144-4,-23.6730396,-46.7427299,Tradicional,Domingo,"Av Inacio Dias Da Silva, 80 - Piraporinha - São Paulo , 04913-180",M'Boi Mirim
1146-0,-23.6757477,-46.7759758,Tradicional,Domingo,"Rua Dr Humberto Pascale, 106 - Jd Jangadeiro - São Paulo , 05884-310",Campo Limpo
1147-9,-23.7509671,-46.6787964,Tradicional,Domingo,"Av Trinta E Sete Conj Faria Lima, 10 - Parque Cocaia - São Paulo , 04840-460",Capela Do Socorro
1149-5,-23.4606543,-46.6520823,Tradicional,Domingo,"Rua São Lourenco Do Sul, 201 - Jd Peri Alto - São Paulo , 02633-060",Casa Verde/Cachoeirinha
1150-9,-23.5512445,-46.479742,Tradicional,Domingo,"Rua Cesar Dias, 10 - Itaquera - São Paulo , 03591-000",Penha
1151-7,-23.5995369,-46.3980068,Tradicional,Domingo,"Rua Padre Aldemar Moreira, 250 - Sta Etelvina - São Paulo , 08471-010",Cidade Tiradentes
1152-5,-23.4869251,-46.5697547,Tradicional,Domingo,"Rua Combate Lagoa Branca, 100 - Vila Sabrina - São Paulo , 02141-080",Vila Maria/Vila Guilherme
