id,lat,lng
1078-2,-23.6311554,-46.7670599
1079-0,-23.6593436,-46.6659444
1080-4,-23.7138918,-46.6985757
1081-2,-23.6021031,-46.6903501
1082-0,-23.6867678,-46.7702909
1083-9,-23.727204,-46.7032972
1084-7,-23.6816643,-46.638434
1085-5,-23.6525995,-46.7379066
1086-3,-23.6904528,-46.7100679
1087-1,-23.6919078,-46.6603914
1088-0,-23.6690799,-46.7847557
1089-8,-23.6115703,-46.704233
1090-1,-23.6514472,-46.7125616
1091-0,-23.5527367,-46.5030577
1092-8,-23.8507782,-46.7164256
1094-4,-23.6740112,-46.7499056
1095-2,-23.6185531,-46.5117713
1096-0,-23.6757674,-46.6620269
1097-9,-23.4673689,-46.6812205
1099-5,-23.5056981,-46.3822734
1102-9,-23.4829884,-46.421486
1104-5,-23.5423679,-46.7463947
1105-3,-23.5183639,-46.4580215
1106-1,-23.5967491,-46.4409385
1107-0,-23.6219024,-46.5891954
1108-8,-23.5605488,-46.4913201
1110-0,-23.5965129,-46.5009408
1111-8,-23.4964289,-46.673118
1113-4,-23.5243719,-46.4130941
1114-2,-23.5757572,-46.7234015
1115-0,-23.6622197,-46.7883172
1117-7,-23.4556224,-46.5898558
1118-5,-23.6462583,-46.7791978
1119-3,-23.6950646,-46.7793888
1121-5,-23.662455,-46.7540432
1123-1,-23.6860524,-46.6481218
1124-0,-23.5761876,-46.4848081
1125-8,-23.4839309,-46.389066
1126-6,-23.4078598,-46.7632217
1127-4,-23.7673973,-46.6846111
1128-2,-23.6768404,-46.6499626
1129-0,-23.5844147,-46.7910414
1130-4,-23.523346,-46.6282767
1131-2,-23.6191684,-46.4698809
1133-9,-23.5524645,-46.6775094
1134-7,-23.5478192,-46.4343841
1135-5,-23.4515015,-46.5960823
1138-0,-23.5018044,-46.5161802
1139-8,-23.7256388,-46.6851159
1141-0,-23.4501217,-46.7328755
1142-8,-23.5129735,-46.4332689
1143-6,-23.5021631,-46.5079658
1144-4,-23.6730396,-46.7427299
1146-0,-23.6757477,-46.7759758
1147-9,-23.7509671,-46.6787964
1149-5,-23.4606543,-46.6520823
1150-9,-23.5512445,-46.479742
1151-7,-23.5995369,-46.3980068
1152-5,-23.4869251,-46.5697547
1153-3,-23.5979119,-46.7526382
1154-1,-23.5488414,-46.6428115
1155-0,-23.6146916,-46.5018814
1161-4,-23.7386093,-46.6942265
1165-7,-23.520027,-46.3981421
1171-1,-23.5051878,-46.4492369
1173-8,-23.6934325,-46.6952504
1174-6,-23.7767654,-46.6940843
1175-4,-23.5391666,-46.6375803
1177-0,-23.6625003,-46.7796475
1179-7,-23.5235473,-46.4729256
1183-5,-23.5656289,-46.3958944
1184-3,-23.5902566,-46.3948422
1190-8,-23.4523512,-46.577835
1192-4,-23.5562868,-46.6400059
1193-2,-23.5863971,-46.8036992
1194-0,-23.6113772,-46.454893
1197-5,-23.5557714,-46.6395571
1198-3,-23.5710914,-46.6581094
1199-1,-23.6464736,-46.7575497
1200-9,-23.5086361,-46.6870791
1204-1,-23.6043504,-46.5958974
1205-0,-23.630215,-46.6807207
1207-6,-23.591201,-46.4167177
1208-4,-23.5016505,-46.6713802
1209-2,-23.5073282,-46.4768511
1210-6,-23.5603159,-46.6580977
1212-2,-23.4499324,-46.6169143
1215-7,-23.6337323,-46.4609091
1217-3,-23.5264088,-46.408344
1218-1,-23.437648,-46.790687
1220-3,-23.4821219,-46.4235486
1221-1,-23.4816467,-46.6743189
1226-2,-23.5780832,-46.3923431
1227-0,-23.500598,-46.3686084
1230-0,-23.3974225,-46.7555566
1234-3,-23.5301237,-46.5512971
1235-1,-23.5674017,-46.4177776
1237-8,-23.6218636,-46.4910466
1239-4,-23.4522611,-46.6922479
1243-2,-23.6454899,-46.5972309
1244-0,-23.4392643,-46.73205
1246-7,-23.8637876,-46.712701
1248-3,-23.5800225,-46.3874063
1251-3,-23.5601976,-46.3986725
1253-0,-23.6010108,-46.3985497
1254-8,-23.4517164,-46.6824933
1260-2,-23.511819,-46.6186332
1262-9,-23.783212,-46.7133956
1264-5,-23.5130654,-46.3851076
1267-0,-23.5949839,-46.4202029
