id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,cep,subprefeitura,lat,lng,geocode_status,distrito
1068-5,Domingo,Tradicional,Rua,Goita,100,Cangaiba,03715-040,Penha,-23.5073202,-46.5371557,painel_prefeitura,Cangaiba
1070-7,Domingo,Tradicional,Rua,Francisco Soares,246,Parque Regina,05774-300,Campo Limpo,-23.6366395,-46.7495706,painel_prefeitura,Campo Limpo
1071-5,Domingo,Tradicional,Rua,Jose Bezerra Filho,1,Parque Grajau,04842-340,Capela do Socorro,-23.747041,-46.687765,painel_prefeitura,Grajau
1073-1,Domingo,Tradicional,Avenida,Cachoeira Santa Cruz,751,Jardim Popular,03625-000,Ermelino Matarazzo,-23.51497,-46.5088594,painel_prefeitura,Ponte Rasa
1074-0,Domingo,Tradicional,Rua,Aderbal Stresser,25,Jardim Arpoador,05566-000,Butantã,-23.589277,-46.7940437,painel_prefeitura,Raposo Tavares
1075-8,Domingo,Tradicional,Rua,Alm Otacilio Cunha,100,Parque Santa Madalena,03982-190,Sapopemba,-23.6131562,-46.5057981,painel_prefeitura,Sapopemba
1076-6,Domingo,Tradicional,Rua,Alba C Joaquim Morais,302,Santa Catarina,04346-000,Jabaquara,-23.6504378,-46.6616368,painel_prefeitura,Jabaquara
1077-4,Domingo,Tradicional,Rua,Arnaldo Magnicaro,370,Jardim Jurubatuba,04691-060,Santo Amaro,-23.6761157,-46.6942407,painel_prefeitura,Campo Grande
1078-2,Domingo,Tradicional,Avenida,Amadeu Da Silva Samello,1,Campo Limpo,05760-140,Campo Limpo,-23.6311554,-46.7670599,painel_prefeitura,Campo Limpo
1079-0,Domingo,Tradicional,Avenida,Cupece,1784,Cid Ademar,04366-000,Cidade Ademar,-23.6593436,-46.6659444,painel_prefeitura,Cidade Ademar
1080-4,Domingo,Tradicional,Rua,Nossa Senhora Do Outeiro,10,Cid Dutra,04807-010,Capela do Socorro,-23.7138918,-46.6985757,painel_prefeitura,Cidade Dutra
1081-2,Domingo,Tradicional,Avenida,Nova Independencia,600,Cid Moncoes,04570-001,Pinheiros,-23.6021031,-46.6903501,painel_prefeitura,Itaim Bibi
1082-0,Domingo,Tradicional,Rua,Marcelino Coelho,34,Jardim Angela,04939-010,M'Boi Mirim,-23.6867678,-46.7702909,painel_prefeitura,Jardim Angela
1083-9,Domingo,Tradicional,Rua,Antonio Pereira Taques,100,Jardim Presidente,04828-120,Capela do Socorro,-23.727204,-46.7032972,painel_prefeitura,Cidade Dutra
1084-7,Domingo,Tradicional,Avenida,Angelo Cristianini,50,Jardim Miriam,04424-000,Cidade Ademar,-23.6816643,-46.638434,painel_prefeitura,Cidade Ademar
1085-5,Domingo,Tradicional,Rua,Arraial Dos Couros,33,Jardim São Luiz,05843-140,M'Boi Mirim,-23.6525995,-46.7379066,painel_prefeitura,Jardim Sao Luis
1086-3,Domingo,Tradicional,Avenida,Inacio Cunha Leme,357,Jardim Ipanema,04784-145,Capela do Socorro,-23.6904528,-46.7100679,painel_prefeitura,Socorro
1087-1,Domingo,Tradicional,Rua,Augusto De Castro,74,Pedreira,04466-090,Cidade Ademar,-23.6919078,-46.6603914,painel_prefeitura,Pedreira
1088-0,Domingo,Tradicional,Estrada,De Itapecerica,6303,Parque Fernanda,05858-003,Campo Limpo,-23.6690799,-46.7847557,painel_prefeitura,Capao Redondo
1089-8,Domingo,Tradicional,Rua,Barao De Monte Mor,50,Paineiras Do Morumbi,05687-010,Butantã,-23.6115703,-46.704233,painel_prefeitura,Morumbi
1090-1,Domingo,Tradicional,Avenida,Mario Lopes Leao,710,Santo Amaro,04754-010,Santo Amaro,-23.6514472,-46.7125616,painel_prefeitura,Santo Amaro
1091-0,Domingo,Tradicional,Rua,Palmeira Laca,15,Jardim Eliane,03577-090,Itaquera,-23.5527367,-46.5030577,painel_prefeitura,Cidade Lider
1092-8,Domingo,Tradicional,Praça,Pedro Rocha,S/N,Parelheiros,04892-017,Parelheiros,-23.8507782,-46.7164256,painel_prefeitura,Parelheiros
1094-4,Domingo,Tradicional,Rua,Albino Correa De Campos,14,Vila Remo,05831-020,M'Boi Mirim,-23.6740112,-46.7499056,painel_prefeitura,Jardim Sao Luis
1095-2,Domingo,Tradicional,Rua,Tome Da Rocha,100,Jardim Elba,03980-070,Sapopemba,-23.6185531,-46.5117713,painel_prefeitura,Sapopemba
1096-0,Domingo,Tradicional,Rua,Estanislau Moniusko,1300,Vila Joanisa,04429-010,Cidade Ademar,-23.6757674,-46.6620269,painel_prefeitura,Cidade Ademar
1097-9,Domingo,Tradicional,Avenida,Guilherme De Almeida,107,Parque Belem,02866-040,Freguesia/Brasilândia,-23.4673689,-46.6812205,painel_prefeitura,Brasilandia
1099-5,Domingo,Tradicional,Avenida,Academia De São Paulo,772,Jardim Camargo Novo,08121-400,Itaim Paulista,-23.5056981,-46.3822734,painel_prefeitura,Itaim Paulista
1102-9,Domingo,Tradicional,Rua,São Goncalo Do Rio Das Pedras,132,Parque PauliSantano,08081-000,São Miguel,-23.4829884,-46.421486,painel_prefeitura,Jardim Helena
1104-5,Domingo,Tradicional,Rua,Barcelona,99,Jaguare,05331-010,Lapa,-23.5423679,-46.7463947,painel_prefeitura,Jaguare
1105-3,Domingo,Tradicional,Rua,Flor De Caboclo,1,Parque Guarani,08235-360,Itaquera,-23.5183639,-46.4580215,painel_prefeitura,Itaquera
1106-1,Domingo,Tradicional,Rua,Luiza De Jesus Ferreira,30,Jardim RoSéli,08380-048,São Mateus,-23.5967491,-46.4409385,painel_prefeitura,Iguatemi
1107-0,Domingo,Tradicional,Largo,Leon De Tolstoi C/ Any,430,Vila Independencia,04241-010,Ipiranga,-23.6219024,-46.5891954,painel_prefeitura,Sacoma
1108-8,Domingo,Tradicional,Rua,Jasmim Da Espanha,100,Jardim Brásilia,03585-040,Itaquera,-23.5605488,-46.4913201,painel_prefeitura,Cidade Lider
1110-0,Domingo,Tradicional,Rua,Douradoquara,50,Jardim Paraguassu,03939-010,São Mateus,-23.5965129,-46.5009408,painel_prefeitura,Sao Mateus
1111-8,Domingo,Tradicional,Rua,Maria Elisa Siqueira,130,Vila Barbosa,02558-000,Casa Verde/Cachoeirinha,-23.4964289,-46.673118,painel_prefeitura,Limao
1113-4,Domingo,Tradicional,Rua,Benedito De Souza Borges,33,Jardim Robru,08150-340,Itaim Paulista,-23.5243719,-46.4130941,painel_prefeitura,Vila Curuca
1114-2,Domingo,Tradicional,Rua,Luis Antonio Martins,21,Butantã,05539-060,Butantã,-23.5757572,-46.7234015,painel_prefeitura,Butanta
1115-0,Domingo,Tradicional,Rua,Serra Dos Dois Irmaos,10,Jardim Das Rosas,05890-300,Campo Limpo,-23.6622197,-46.7883172,painel_prefeitura,Capao Redondo
1117-7,Domingo,Tradicional,Avenida,Antonelo Da Messina,100,Vila Zilda,02318-000,Jaçanã/Tremembé,-23.4556224,-46.5898558,painel_prefeitura,Tremembe
1118-5,Domingo,Tradicional,Rua,Carlos Nahas C/ Carlos Lacerda,1,Jardim Rosana,05789-000,Campo Limpo,-23.6462583,-46.7791978,painel_prefeitura,Campo Limpo
